Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas1             Pavarde1          1          5          5          1          2
Vardas2             Pavarde2          5          9          4          3          3
Vardas3             Pavarde3          5          2          9          2          1
Vardas4             Pavarde4          8          6          5          2          2
Vardas5             Pavarde5          7          1          7          1          7
Vardas6             Pavarde6          10          10          5          3          2
Vardas7             Pavarde7          3          4          8          2          2
Vardas8             Pavarde8          6          8          8          4          4
Vardas9             Pavarde9          6          6          2          7          2
Vardas10             Pavarde10          3          4          10          8          1
Vardas11             Pavarde11          9          7          4          3          9
Vardas12             Pavarde12          4          8          3          6          6
Vardas13             Pavarde13          5          8          5          4          7
Vardas14             Pavarde14          2          9          10          8          5
Vardas15             Pavarde15          2          4          6          10          1
Vardas16             Pavarde16          7          7          6          5          4
Vardas17             Pavarde17          2          8          9          1          9
Vardas18             Pavarde18          6          4          3          3          4
Vardas19             Pavarde19          8          10          3          7          2
Vardas20             Pavarde20          7          6          10          4          9
Vardas21             Pavarde21          10          4          8          10          8
Vardas22             Pavarde22          6          6          1          1          6
Vardas23             Pavarde23          3          4          8          7          1
Vardas24             Pavarde24          10          2          3          4          5
Vardas25             Pavarde25          1          8          2          8          10
Vardas26             Pavarde26          4          6          9          1          3
Vardas27             Pavarde27          10          10          2          10          8
Vardas28             Pavarde28          3          6          10          8          4
Vardas29             Pavarde29          9          9          8          8          5
Vardas30             Pavarde30          10          2          5          3          1
Vardas31             Pavarde31          7          1          9          8          6
Vardas32             Pavarde32          4          1          3          6          8
Vardas33             Pavarde33          7          8          1          3          10
Vardas34             Pavarde34          9          3          6          9          8
Vardas35             Pavarde35          6          4          2          4          5
Vardas36             Pavarde36          4          1          3          9          2
Vardas37             Pavarde37          6          7          9          3          10
Vardas38             Pavarde38          10          10          5          4          8
Vardas39             Pavarde39          1          6          9          8          2
Vardas40             Pavarde40          3          9          4          10          6
Vardas41             Pavarde41          7          5          9          2          8
Vardas42             Pavarde42          8          8          9          4          5
Vardas43             Pavarde43          5          9          5          4          9
Vardas44             Pavarde44          2          6          2          10          7
Vardas45             Pavarde45          9          6          1          5          8
Vardas46             Pavarde46          5          4          5          7          1
Vardas47             Pavarde47          9          4          4          4          3
Vardas48             Pavarde48          1          4          1          2          6
Vardas49             Pavarde49          3          1          10          8          9
Vardas50             Pavarde50          6          7          1          5          3
Vardas51             Pavarde51          7          3          8          10          1
Vardas52             Pavarde52          10          10          3          7          9
Vardas53             Pavarde53          10          9          3          5          8
Vardas54             Pavarde54          6          10          2          2          8
Vardas55             Pavarde55          5          7          4          4          9
Vardas56             Pavarde56          2          10          7          4          8
Vardas57             Pavarde57          4          10          1          8          7
Vardas58             Pavarde58          9          10          1          9          2
Vardas59             Pavarde59          8          3          8          6          7
Vardas60             Pavarde60          7          4          10          6          1
Vardas61             Pavarde61          3          2          2          9          1
Vardas62             Pavarde62          3          10          9          4          9
Vardas63             Pavarde63          8          2          4          3          1
Vardas64             Pavarde64          5          2          8          3          8
Vardas65             Pavarde65          5          10          9          2          9
Vardas66             Pavarde66          10          8          4          1          5
Vardas67             Pavarde67          7          9          2          5          6
Vardas68             Pavarde68          10          8          10          10          3
Vardas69             Pavarde69          6          4          5          8          4
Vardas70             Pavarde70          2          7          4          4          3
Vardas71             Pavarde71          2          6          7          2          2
Vardas72             Pavarde72          3          2          2          6          9
Vardas73             Pavarde73          5          8          9          9          6
Vardas74             Pavarde74          5          3          3          9          1
Vardas75             Pavarde75          9          9          8          7          6
Vardas76             Pavarde76          4          10          5          10          6
Vardas77             Pavarde77          1          9          4          6          5
Vardas78             Pavarde78          7          8          9          1          2
Vardas79             Pavarde79          9          8          5          5          8
Vardas80             Pavarde80          10          2          3          2          10
Vardas81             Pavarde81          8          7          9          4          8
Vardas82             Pavarde82          2          3          9          5          5
Vardas83             Pavarde83          5          6          7          4          7
Vardas84             Pavarde84          2          8          7          6          5
Vardas85             Pavarde85          8          9          9          9          10
Vardas86             Pavarde86          3          5          3          8          8
Vardas87             Pavarde87          7          5          6          6          4
Vardas88             Pavarde88          1          1          4          10          5
Vardas89             Pavarde89          3          5          8          8          5
Vardas90             Pavarde90          10          9          6          9          8
Vardas91             Pavarde91          2          5          9          5          9
Vardas92             Pavarde92          4          6          6          10          9
Vardas93             Pavarde93          9          10          10          2          9
Vardas94             Pavarde94          8          6          2          4          7
Vardas95             Pavarde95          4          3          5          4          10
Vardas96             Pavarde96          7          7          3          6          8
Vardas97             Pavarde97          2          6          1          8          6
Vardas98             Pavarde98          8          8          10          10          10
Vardas99             Pavarde99          6          8          2          1          9
Vardas100             Pavarde100          7          4          1          10          7
Vardas101             Pavarde101          3          3          10          5          9
Vardas102             Pavarde102          5          6          4          9          5
Vardas103             Pavarde103          9          7          7          4          2
Vardas104             Pavarde104          5          8          7          7          3
Vardas105             Pavarde105          9          9          10          8          3
Vardas106             Pavarde106          10          2          5          3          4
Vardas107             Pavarde107          8          5          5          6          2
Vardas108             Pavarde108          8          7          8          3          10
Vardas109             Pavarde109          2          2          3          2          6
Vardas110             Pavarde110          10          9          2          6          4
Vardas111             Pavarde111          7          3          6          10          7
Vardas112             Pavarde112          2          9          6          10          6
Vardas113             Pavarde113          1          8          2          7          9
Vardas114             Pavarde114          10          10          3          5          7
Vardas115             Pavarde115          9          8          2          4          9
Vardas116             Pavarde116          2          2          8          8          3
Vardas117             Pavarde117          7          4          1          1          1
Vardas118             Pavarde118          3          6          8          10          3
Vardas119             Pavarde119          10          3          4          7          8
Vardas120             Pavarde120          5          10          4          10          6
Vardas121             Pavarde121          1          9          2          9          1
Vardas122             Pavarde122          9          3          2          8          9
Vardas123             Pavarde123          2          7          9          2          3
Vardas124             Pavarde124          3          10          1          3          3
Vardas125             Pavarde125          3          8          5          10          9
Vardas126             Pavarde126          9          3          10          8          5
Vardas127             Pavarde127          6          5          10          7          4
Vardas128             Pavarde128          8          6          9          4          10
Vardas129             Pavarde129          7          2          4          2          9
Vardas130             Pavarde130          7          1          4          7          9
Vardas131             Pavarde131          8          8          7          7          10
Vardas132             Pavarde132          7          2          9          8          2
Vardas133             Pavarde133          4          10          9          3          10
Vardas134             Pavarde134          5          10          7          10          6
Vardas135             Pavarde135          8          1          6          6          10
Vardas136             Pavarde136          6          9          8          3          7
Vardas137             Pavarde137          10          7          10          7          1
Vardas138             Pavarde138          6          4          5          5          6
Vardas139             Pavarde139          3          10          5          1          6
Vardas140             Pavarde140          7          10          8          2          4
Vardas141             Pavarde141          5          4          2          1          2
Vardas142             Pavarde142          7          1          10          8          10
Vardas143             Pavarde143          5          9          2          3          4
Vardas144             Pavarde144          8          6          4          10          6
Vardas145             Pavarde145          8          2          4          2          5
Vardas146             Pavarde146          8          9          2          2          5
Vardas147             Pavarde147          7          9          8          2          9
Vardas148             Pavarde148          9          8          5          8          1
Vardas149             Pavarde149          9          10          6          3          6
Vardas150             Pavarde150          6          7          6          2          8
Vardas151             Pavarde151          10          6          3          8          7
Vardas152             Pavarde152          6          3          4          8          3
Vardas153             Pavarde153          5          5          2          9          5
Vardas154             Pavarde154          9          5          10          9          4
Vardas155             Pavarde155          5          4          6          4          5
Vardas156             Pavarde156          1          6          3          1          9
Vardas157             Pavarde157          10          6          6          4          5
Vardas158             Pavarde158          1          2          3          7          6
Vardas159             Pavarde159          6          2          7          2          7
Vardas160             Pavarde160          3          4          7          4          7
Vardas161             Pavarde161          5          5          3          6          6
Vardas162             Pavarde162          9          2          6          7          4
Vardas163             Pavarde163          10          9          9          10          10
Vardas164             Pavarde164          10          7          1          3          1
Vardas165             Pavarde165          3          3          5          4          2
Vardas166             Pavarde166          7          2          5          5          3
Vardas167             Pavarde167          3          3          7          1          5
Vardas168             Pavarde168          6          6          2          7          8
Vardas169             Pavarde169          1          8          3          2          5
Vardas170             Pavarde170          3          1          2          7          5
Vardas171             Pavarde171          10          10          9          4          5
Vardas172             Pavarde172          7          9          9          4          7
Vardas173             Pavarde173          2          9          10          9          10
Vardas174             Pavarde174          1          1          2          8          3
Vardas175             Pavarde175          8          8          10          9          9
Vardas176             Pavarde176          4          5          9          1          10
Vardas177             Pavarde177          7          2          2          5          6
Vardas178             Pavarde178          9          6          7          6          3
Vardas179             Pavarde179          4          2          6          2          5
Vardas180             Pavarde180          5          6          7          9          1
Vardas181             Pavarde181          9          3          7          10          7
Vardas182             Pavarde182          9          10          5          10          10
Vardas183             Pavarde183          7          8          3          1          4
Vardas184             Pavarde184          4          5          1          4          10
Vardas185             Pavarde185          1          2          4          8          10
Vardas186             Pavarde186          10          9          9          7          9
Vardas187             Pavarde187          3          5          3          3          1
Vardas188             Pavarde188          1          1          2          3          6
Vardas189             Pavarde189          6          8          5          2          8
Vardas190             Pavarde190          5          10          4          10          10
Vardas191             Pavarde191          8          1          1          1          2
Vardas192             Pavarde192          8          9          9          3          4
Vardas193             Pavarde193          5          1          6          10          6
Vardas194             Pavarde194          7          1          6          1          3
Vardas195             Pavarde195          1          1          2          7          7
Vardas196             Pavarde196          3          3          3          5          9
Vardas197             Pavarde197          6          10          10          4          8
Vardas198             Pavarde198          8          10          4          5          10
Vardas199             Pavarde199          10          8          7          1          6
Vardas200             Pavarde200          7          8          8          9          7
Vardas201             Pavarde201          3          10          9          10          3
Vardas202             Pavarde202          1          6          8          2          4
Vardas203             Pavarde203          7          3          5          2          8
Vardas204             Pavarde204          1          5          5          2          3
Vardas205             Pavarde205          7          5          3          2          5
Vardas206             Pavarde206          3          4          5          3          3
Vardas207             Pavarde207          10          5          5          1          2
Vardas208             Pavarde208          8          10          9          9          7
Vardas209             Pavarde209          2          8          10          2          8
Vardas210             Pavarde210          3          5          4          6          6
Vardas211             Pavarde211          1          2          2          3          6
Vardas212             Pavarde212          9          9          8          5          2
Vardas213             Pavarde213          4          3          5          1          4
Vardas214             Pavarde214          1          8          1          10          1
Vardas215             Pavarde215          8          2          2          7          10
Vardas216             Pavarde216          3          1          6          3          8
Vardas217             Pavarde217          7          1          10          7          2
Vardas218             Pavarde218          5          10          1          6          6
Vardas219             Pavarde219          2          5          4          2          2
Vardas220             Pavarde220          3          3          3          1          10
Vardas221             Pavarde221          3          3          1          1          9
Vardas222             Pavarde222          10          10          3          4          8
Vardas223             Pavarde223          8          9          10          3          9
Vardas224             Pavarde224          7          1          2          4          9
Vardas225             Pavarde225          2          8          4          3          9
Vardas226             Pavarde226          4          6          10          6          3
Vardas227             Pavarde227          7          2          8          10          6
Vardas228             Pavarde228          9          1          3          8          6
Vardas229             Pavarde229          8          5          8          6          10
Vardas230             Pavarde230          9          9          9          8          9
Vardas231             Pavarde231          10          2          7          8          3
Vardas232             Pavarde232          4          3          9          1          4
Vardas233             Pavarde233          3          4          9          1          6
Vardas234             Pavarde234          7          4          3          1          6
Vardas235             Pavarde235          2          7          10          2          2
Vardas236             Pavarde236          8          1          10          7          9
Vardas237             Pavarde237          9          10          3          2          5
Vardas238             Pavarde238          5          6          10          8          6
Vardas239             Pavarde239          4          3          7          6          1
Vardas240             Pavarde240          5          6          5          3          6
Vardas241             Pavarde241          2          9          8          5          8
Vardas242             Pavarde242          4          2          9          7          8
Vardas243             Pavarde243          2          3          5          5          10
Vardas244             Pavarde244          2          1          2          5          10
Vardas245             Pavarde245          8          10          4          1          10
Vardas246             Pavarde246          10          6          4          4          5
Vardas247             Pavarde247          4          6          4          6          3
Vardas248             Pavarde248          6          6          1          10          9
Vardas249             Pavarde249          1          7          1          10          5
Vardas250             Pavarde250          5          3          10          10          1
Vardas251             Pavarde251          1          7          10          1          3
Vardas252             Pavarde252          1          4          2          8          2
Vardas253             Pavarde253          4          3          10          9          4
Vardas254             Pavarde254          1          1          9          8          6
